City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pueblo Rico,CO,77.0,scattered clouds,5.24,-76.04,Hotel Don Pedro
3,Namibe,AO,78.85,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
5,Cap Malheureux,MU,81.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
6,Saint George,US,89.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
8,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Pousada Sitio Do Carmo
9,Itabirito,BR,77.0,scattered clouds,-20.25,-43.8,Hotel Pousada de Minas
10,Ponta Delgada,PT,60.8,scattered clouds,37.73,-25.67,Vila Nova Hotel
13,Constantine,DZ,51.8,scattered clouds,36.37,6.61,Grand Hotel Cirta
15,Mumford,GH,80.6,few clouds,5.26,-0.76,Spanish Villa
16,Naples,IT,50.0,clear sky,40.83,14.25,Renaissance Naples Hotel Mediterraneo
17,Mahebourg,MU,81.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
18,Saint-Philippe,RE,78.8,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
19,Castro,BR,59.95,scattered clouds,-24.79,-50.01,CHACARA BAILLY
21,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
23,Georgetown,MY,82.99,few clouds,5.41,100.34,Cititel Penang
24,Kambove,CD,60.31,scattered clouds,-10.88,26.6,Couvant des soeurs catholiques
25,Sao Felix Do Xingu,BR,76.15,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
26,Braganca,BR,74.91,overcast clouds,-1.05,-46.77,Marujo's Suíte Hotel
27,Port Elizabeth,ZA,66.2,overcast clouds,-33.92,25.57,39 On Nile Guest House
28,Pitimbu,BR,80.6,scattered clouds,-7.47,-34.81,Reserva do Abiaí
29,Bengkulu,ID,76.77,light rain,-3.8,102.27,Grage Hotel Bengkulu
30,Hermanus,ZA,64.99,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
33,Victoria,HK,72.0,overcast clouds,22.29,114.16,Mini Hotel Central
34,Ponta Do Sol,PT,55.99,broken clouds,32.67,-17.1,Hotel do Campo
35,Saldanha,ZA,64.4,few clouds,-33.01,17.94,Blue Bay Lodge
36,Cayenne,GF,80.01,broken clouds,4.93,-52.33,Hôtel Le Dronmi
38,Mar Del Plata,AR,69.01,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata
39,Luanda,AO,78.8,few clouds,-8.84,13.23,Forum GestHotel
41,East London,ZA,66.74,clear sky,-33.02,27.91,Tu Casa
42,La Roda,ES,51.8,clear sky,39.22,-2.15,Restaurante El Sueño de Jemik
43,Aden,YE,80.42,scattered clouds,12.78,45.04,Sama Emirate Hotel
44,Kavaratti,IN,81.99,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
45,Cape Town,ZA,64.99,clear sky,-33.93,18.42,Southern Sun Cape Sun
46,Highland Springs,US,75.2,clear sky,37.55,-77.33,Homewood Suites by Hilton Richmond - Airport
47,Dingle,PH,74.46,overcast clouds,11.0,122.67,SEGAYA PROPERTY
48,Rayagada,IN,76.12,few clouds,19.17,83.42,"Hotel Swagath, Rayagada"
49,Rawson,AR,82.51,few clouds,-43.3,-65.1,Hosteria Sampedro
50,Luena,AO,66.4,broken clouds,-11.78,19.92,Hotel Kandamba
51,Jamestown,US,53.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
52,Hambantota,LK,69.8,clear sky,6.12,81.12,Bungalow 63
54,Mansa,IN,74.08,broken clouds,29.98,75.38,STARiHOTEL Mansa
55,Puerto Castilla,HN,77.0,overcast clouds,16.02,-85.97,"Santa Fe, Colon"
56,Mitsamiouli,KM,81.93,scattered clouds,-11.38,43.28,Foyer ADM
57,Madingou,CG,74.59,broken clouds,-4.15,13.55,HOTEL KIM ELISA
58,Ribeira Grande,PT,60.91,broken clouds,38.52,-28.7,Quinta da Meia Eira
59,Macau,MO,71.6,scattered clouds,22.2,113.55,Grand Emperor Hotel
60,Comodoro Rivadavia,AR,80.6,clear sky,-45.87,-67.5,Hotel Victoria
62,Santa Maria Da Vitoria,BR,84.6,broken clouds,-13.39,-44.19,Pousada do Rio Corrente
64,Beira,MZ,75.2,light rain,-19.84,34.84,Beira Terrace Hotel
65,Kango,GA,75.85,light rain,0.19,10.1,Hôtel Bar Restaurant Le Bercail
67,Souillac,MU,81.0,scattered clouds,-20.52,57.52,Bils' Villa
68,Sao Filipe,CV,73.38,clear sky,14.9,-24.5,Tortuga B&B
69,Atlantic City,US,64.4,clear sky,39.36,-74.42,Resorts Casino Hotel
70,Jamui,IN,72.86,clear sky,24.92,86.22,hotel sneha
71,Pisco,PE,77.0,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
74,Carnarvon,AU,75.2,few clouds,-24.87,113.63,Hospitality Carnarvon
75,Lagoa,PT,60.08,overcast clouds,39.05,-27.98,Casa Das Faias
76,Nebbi,UG,69.01,overcast clouds,2.48,31.09,GAF Apartments & Entertainment Center
79,Mbandaka,CD,73.33,overcast clouds,0.05,18.26,Guest House Epervier
80,Lucea,JM,82.0,scattered clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
81,Kelo,TD,90.61,clear sky,9.31,15.81,Plantation de Kelo
82,Busselton,AU,59.0,clear sky,-33.65,115.33,Observatory Guest House
83,Kindu,CD,71.26,light rain,-2.95,25.95,Résidence Okanda
84,Codrington,AU,58.8,broken clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
85,Dubrajpur,IN,73.49,clear sky,23.8,87.38,Garai Hotel
87,Nouadhibou,MR,66.2,broken clouds,20.93,-17.03,El Medina
89,Salima,MW,68.76,light rain,-13.78,34.46,YAMIKANI LODGE
91,Jijiga,ET,69.57,broken clouds,9.35,42.8,RAMAAS HOTEL
92,Bredasdorp,ZA,64.4,light rain,-34.53,20.04,Bredasdorp Country Manor
93,Yanam,IN,76.35,broken clouds,16.73,82.22,The Regency Hotel
97,Marsa Matruh,EG,66.2,clear sky,31.35,27.25,Beau Site
98,Port Alfred,ZA,68.56,broken clouds,-33.59,26.89,The Halyards Hotel
99,Los Llanos De Aridane,ES,66.2,overcast clouds,28.66,-17.92,Valle Aridane
100,Mahibadhoo,MV,83.16,clear sky,3.78,72.97,Omadhoo Inn
101,Nampula,MZ,71.6,moderate rain,-15.12,39.27,Tacab Residencial
103,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Pirineos
106,Viedma,AR,81.72,clear sky,-40.81,-63.0,Hotel Cristal
107,Necochea,AR,72.0,few clouds,-38.55,-58.74,dyd -mar Hotel
108,Cidreira,BR,72.79,clear sky,-30.18,-50.21,Hotel Castelo
109,Fougamou,GA,75.54,overcast clouds,-1.22,10.58,Résidence d'Hôtes Bapedy
110,Hithadhoo,MV,83.12,broken clouds,-0.6,73.08,Scoop Guest House
112,Arlit,NE,79.57,clear sky,18.74,7.39,Hôtel Telwa Bungalow
113,Praia,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
114,Ashqelon,IL,57.99,clear sky,31.67,34.57,Leonardo Ashkelon
117,San Vicente,AR,71.47,overcast clouds,-26.62,-54.13,Complejo Turístico Farelluk
118,Japura,ID,74.55,overcast clouds,-0.32,102.35,Rumah mbah Jamah
120,Chipata,ZM,62.6,scattered clouds,-13.63,32.65,Protea Hotel by Marriott Chipata
124,Monrovia,LR,80.6,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
126,Cauquenes,CL,67.24,clear sky,-35.97,-72.32,Viña Don Heraldo
127,Itarema,BR,79.03,overcast clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
129,Chuy,UY,68.68,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
134,Mana,GF,78.06,moderate rain,5.66,-53.78,LE SAMANA
135,Jacareacanga,BR,80.49,light rain,-6.22,-57.75,Casa do Ian😎
137,Karoi,ZW,61.2,clear sky,-16.81,29.69,The Champion Lodge
138,Grand Gaube,MU,81.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
139,Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
140,Savannah Bight,HN,79.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
143,Rincon,US,72.0,clear sky,32.3,-81.24,Days Inn Rincon
144,Odienne,CI,88.68,overcast clouds,9.51,-7.57,Oustaz Vame DIAKITE
146,Vila Franca Do Campo,PT,60.8,scattered clouds,37.72,-25.43,Pestana Bahia Praia
148,Okitipupa,NG,78.8,clear sky,6.5,4.78,Coastal Hotel & Suites
149,Kalinagar,IN,69.24,clear sky,28.62,80.1,QARBALA of daga
150,Tamandare,BR,79.05,few clouds,-8.76,-35.1,Pousada 100 Passos
152,Cockburn Town,TC,75.2,broken clouds,21.46,-71.14,Osprey Beach Hotel
156,Santa Maria,BR,80.6,few clouds,-29.68,-53.81,Hotel Morotin
158,Illapel,CL,69.87,overcast clouds,-31.63,-71.17,Hotel Londres
160,Faya,SA,64.4,clear sky,18.39,42.45,مقبرة ال مجمل
161,Asfi,MA,59.61,clear sky,32.3,-9.24,Hôtel Abda
162,Sur,OM,83.62,clear sky,22.57,59.53,Sur Plaza Hotel
163,Beloit,US,77.0,scattered clouds,42.51,-89.03,Best Western Legacy Inn & Suites Beloit-South Beloit
164,Misratah,LY,65.79,overcast clouds,32.38,15.09,فندق الماسة
165,Medvedovskaya,RU,51.8,scattered clouds,45.45,39.03,Gostinnitsa
166,Betioky,MG,68.05,broken clouds,-23.72,44.38,Bungalows Acacias Hotel
168,Kruisfontein,ZA,66.99,overcast clouds,-34.0,24.73,Oyster Bay House Rental
171,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
173,Eyl,SO,79.72,few clouds,7.98,49.82,DAAWAD HOTEL EYL
175,Lebu,CL,58.24,scattered clouds,-37.62,-73.65,Hostal Las Lilas
176,Nargana,PA,79.97,overcast clouds,9.44,-78.59,Dubbir
177,Kutum,SD,70.3,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
179,Quatre Cocos,MU,81.0,light rain,-20.21,57.76,Emeraude Beach Attitude Hotel
180,Picota,PE,80.6,broken clouds,-6.92,-76.33,Hospedaje Vanessa
183,Buchanan,LR,80.6,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
184,Yarmouth,US,52.0,clear sky,41.71,-70.23,The Inn At Cape Cod
185,Etah,IN,77.25,scattered clouds,27.63,78.67,क्षाया रेस्टोरेंट एंड फैमिली ढाबा
186,Marawi,PH,67.17,overcast clouds,8.0,124.29,Derogongan Residence
187,Santiago Del Estero,AR,82.38,broken clouds,-27.8,-64.26,Apartamentos Castelli 90
190,Puerto Maldonado,PE,76.06,moderate rain,-12.6,-69.18,Wasai Hotel
193,Omboue,GA,78.49,light rain,-1.57,9.26,Hotel Olako
194,Kalmunai,LK,78.48,overcast clouds,7.42,81.82,VS Villa
195,Florianopolis,BR,78.01,scattered clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
196,Hagere Selam,ET,51.94,broken clouds,6.48,38.52,Tigist Fire Pension
198,Atar,MR,85.05,broken clouds,20.52,-13.05,Oumou Elghoura
199,Shelburne,CA,55.4,clear sky,44.08,-80.2,The Retreat at the Farm
200,Bambous Virieux,MU,81.0,scattered clouds,-20.34,57.76,Casa Tia Villa
201,Bud,US,73.4,clear sky,39.45,-86.18,Ted McQuinn Trust
202,Bandarbeyla,SO,77.92,scattered clouds,9.49,50.81,JABIR HOTEL
204,Gamboma,CG,76.95,light rain,-1.88,15.86,Residence N'Keni
206,La Palma,US,79.0,clear sky,33.85,-118.05,"Levar & Ryan Properties, LLC."
207,Matara,LK,75.2,overcast clouds,5.95,80.54,Amaloh Boutique Resort
208,Tabou,CI,79.0,light rain,4.42,-7.35,hotêl doufoulougou
211,Mecca,SA,76.75,overcast clouds,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
212,Plettenberg Bay,ZA,66.72,overcast clouds,-34.05,23.37,Thanda Vista B&B
213,Sinnamary,GF,77.67,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
214,Kaabong,UG,66.74,light rain,3.48,34.15,Rock Motel Ltd
216,Kikwit,CD,69.31,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
218,Cuamba,MZ,66.2,few clouds,-14.8,36.54,Hotel Vision
219,Sao Gabriel Da Cachoeira,BR,75.13,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
220,Tahta,EG,68.0,clear sky,26.77,31.5,ماستر تك
221,San Vicente De Canete,PE,73.38,scattered clouds,-13.08,-76.38,Hotel Konford
222,Rocha,UY,65.98,scattered clouds,-34.48,-54.33,Beleza Pura B&B
225,Talcahuano,CL,57.2,broken clouds,-36.72,-73.12,Hotel Terramar
228,Marsh Harbour,BS,67.6,overcast clouds,26.54,-77.06,Abaco Beach Resort
229,Inirida,CO,77.25,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
232,Sabha,LY,74.7,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
233,Zemio,CF,80.76,overcast clouds,5.03,25.14,OCHA Office
238,Inongo,CD,73.71,light rain,-1.95,18.27,Hotel Du Lac
242,Utica,US,55.4,clear sky,43.1,-75.23,Days Inn by Wyndham Utica
243,San Andres,CO,86.0,few clouds,12.58,-81.7,Hotel Arena Blanca
244,Vila Do Maio,CV,77.0,clear sky,15.13,-23.22,Residence 'I Delfini'
246,Nador,MA,59.0,scattered clouds,35.17,-2.93,Hôtel La Giralda
249,Mancio Lima,BR,78.8,light rain,-7.61,-72.9,Hotel e Distribuidora Voyage
250,Maracas,BR,71.42,scattered clouds,-13.44,-40.43,Pousada Vale Aprazível
251,Porto Belo,BR,78.01,scattered clouds,-27.16,-48.55,Costa Verde Beach Hotel
253,Saint Anthony,US,77.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
256,Carutapera,BR,76.32,overcast clouds,-1.2,-46.02,Lidera
257,Zvishavane,ZW,60.58,clear sky,-20.33,30.07,Hotel Boutique Runde
258,Malakal,SS,88.72,broken clouds,9.53,31.66,Nile Palace Hotel
259,Monforte De Lemos,ES,53.01,clear sky,42.52,-7.51,Hotel Cardenal
260,Acarau,BR,79.74,overcast clouds,-2.89,-40.12,castelo pizzaria
261,Ballina,AU,68.0,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
263,Peniche,PT,55.99,clear sky,39.36,-9.38,Hotel Star inn Peniche
264,Praia Da Vitoria,PT,59.0,broken clouds,38.73,-27.07,Hotel Branco I
267,Joao Pinheiro,BR,75.83,overcast clouds,-17.74,-46.17,Hotel Santos
271,Mercedes,AR,73.99,overcast clouds,-34.65,-59.43,Posada del Inti Centro
272,Camacha,PT,60.8,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
273,Grabouw,ZA,64.99,clear sky,-34.15,19.02,Belfield Wines and Farm Cottages
274,Sao Joao Da Barra,BR,78.8,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
276,Havelock,US,66.99,clear sky,34.88,-76.9,Sherwood Motel
279,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
280,Bhaderwah,IN,50.92,overcast clouds,32.98,75.72,Hotel Shiv Residency and Restaurant Bhaderwah (J&K)
281,Alta Floresta,BR,76.19,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
282,Gat,IL,57.99,clear sky,31.61,34.76,OlusHome
283,Ancud,CL,62.01,clear sky,-41.87,-73.82,Hotel Arena Gruesa
285,Jalu,LY,71.06,clear sky,29.03,21.55,صاحبة الفخامة
286,Hamilton,US,73.4,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
287,Batticaloa,LK,78.96,broken clouds,7.71,81.69,Grand Star Guest House
290,Grand-Santi,GF,74.14,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
291,Shagamu,NG,86.0,few clouds,6.84,3.65,Remo Majestic Hotel
292,Barcelos,PT,61.0,clear sky,41.54,-8.62,Hotel Do Terço
293,Castelldefels,ES,57.0,clear sky,41.28,1.97,Gran Hotel Rey Don Jaime
294,Gualaquiza,EC,65.68,light rain,-3.4,-78.55,Hotel Merceditas
295,Caraballeda,VE,82.4,scattered clouds,10.61,-66.85,Hotel 15 Letras
296,Gazanjyk,TM,56.7,clear sky,39.24,55.52,Railway motel
298,San Francisco,US,61.0,broken clouds,37.77,-122.42,Travelodge by Wyndham San Francisco Central
300,Cabinda,AO,79.9,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
301,Hobyo,SO,82.24,broken clouds,5.35,48.53,Halane Hotel and Restaurent
302,Mango,US,77.0,broken clouds,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon
303,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,Lindsey Hôtel
305,Takoradi,GH,79.39,light rain,4.88,-1.76,Raybow International Hotel
306,San Juan,AR,83.64,broken clouds,-31.54,-68.54,Hotel Provincial
307,Durazno,UY,80.6,few clouds,-33.41,-56.5,Hotel Santa Cristina
308,Naliya,IN,78.06,clear sky,23.27,68.83,Hotel Panchvati
311,Tembisa,ZA,60.01,clear sky,-26.0,28.23,2 Bongani Trevor Khumalo Crescent
312,Sal Rei,CV,69.8,few clouds,16.18,-22.92,Marine Club Beach Resort
